step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,n_copepod,seed
485,0,0,5000,0,0,100,41,300,249
486,0,0,5000,0,0,100,41,300,249
487,0,0,5000,0,0,100,41,300,249
488,0,0,5000,0,0,100,41,300,249
489,0,0,5000,0,0,100,41,300,249
490,0,0,5000,0,0,100,41,300,249
491,0,0,5000,0,0,100,41,300,249
492,0,0,5000,0,0,100,41,300,249
493,0,0,5000,0,0,100,41,300,249
494,0,0,5000,0,0,100,41,300,249
495,0,0,5000,0,0,100,41,300,249
496,0,0,5000,0,0,100,41,300,249
497,0,0,5000,0,0,100,41,300,249
498,0,0,5000,0,0,100,41,300,249
499,0,0,5000,0,0,100,41,300,249
500,0,0,5000,0,0,100,41,300,249
501,0,0,5000,0,0,100,41,300,249
502,0,0,5000,0,0,100,41,300,249
503,0,0,5000,0,0,100,41,300,249
504,0,0,5000,0,0,100,41,300,249
505,0,0,5000,0,0,100,41,300,249
506,0,0,5000,0,0,100,41,300,249
507,0,0,5000,0,0,100,41,300,249
508,0,0,5000,0,0,100,41,300,249
509,0,0,5000,0,0,100,41,300,249
510,0,0,5000,0,0,100,41,300,249
511,0,0,5000,0,0,100,41,300,249
512,0,0,5000,0,0,100,41,300,249
513,0,0,5000,0,0,100,41,300,249
514,0,0,5000,0,0,100,41,300,249
515,0,0,5000,0,0,100,41,300,249
516,0,0,5000,0,0,100,41,300,249
517,0,0,5000,0,0,100,41,300,249
518,0,0,5000,0,0,100,41,300,249
519,0,0,5000,0,0,100,41,300,249
520,0,0,5000,0,0,100,41,300,249
521,0,0,5000,0,0,100,41,300,249
522,0,0,5000,0,0,100,41,300,249
523,0,0,5000,0,0,100,41,300,249
524,0,0,5000,0,0,100,41,300,249
525,0,0,5000,0,0,100,41,300,249
526,0,0,5000,0,0,100,41,300,249
527,0,0,5000,0,0,100,41,300,249
528,0,0,5000,0,0,100,41,300,249
529,0,0,5000,0,0,100,41,300,249
530,0,0,5000,0,0,100,41,300,249
531,0,0,5000,0,0,100,41,300,249
532,0,0,5000,0,0,100,41,300,249
533,0,0,5000,0,0,100,41,300,249
534,0,0,5000,0,0,100,41,300,249
535,0,0,5000,0,0,100,41,300,249
536,0,0,5000,0,0,100,41,300,249
537,0,0,5000,0,0,100,41,300,249
538,0,0,5000,0,0,100,41,300,249
539,0,0,5000,0,0,100,41,300,249
540,0,0,5000,0,0,100,41,300,249
541,0,0,5000,0,0,100,41,300,249
542,0,0,5000,0,0,100,41,300,249
543,0,0,5000,0,0,100,41,300,249
544,0,0,5000,0,0,100,41,300,249
545,0,0,5000,0,0,100,41,300,249
546,0,0,5000,0,0,100,41,300,249
547,0,0,5000,0,0,100,41,300,249
548,0,0,5000,0,0,100,41,300,249
549,0,0,5000,0,0,100,41,300,249
550,0,0,5000,0,0,100,41,300,249
551,0,0,5000,0,0,100,41,300,249
552,0,0,5000,0,0,100,41,300,249
553,0,0,5000,0,0,100,41,300,249
554,0,0,5000,0,0,100,41,300,249
555,0,0,5000,0,0,100,41,300,249
556,0,0,5000,0,0,100,41,300,249
557,0,0,5000,0,0,100,41,300,249
558,0,0,5000,0,0,100,41,300,249
559,0,0,5000,0,0,100,41,300,249
560,0,0,5000,0,0,100,41,300,249
561,0,0,5000,0,0,100,41,300,249
562,0,0,5000,0,0,100,41,300,249
563,0,0,5000,0,0,100,41,300,249
564,0,0,5000,0,0,100,41,300,249
565,0,0,5000,0,0,100,41,300,249
566,0,0,5000,0,0,100,41,300,249
567,0,0,5000,0,0,100,41,300,249
568,0,0,5000,0,0,100,41,300,249
569,0,0,5000,0,0,100,41,300,249
570,0,0,5000,0,0,100,41,300,249
571,0,0,5000,0,0,100,41,300,249
