step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
54,0,385,5000,42,0,20,0,1.5,10,38
55,0,262,5000,39,0,20,0,1.5,10,38
56,0,165,5000,39,0,20,0,1.5,10,38
57,0,96,5000,38,0,20,0,1.5,10,38
58,0,58,5000,33,0,20,0,1.5,10,38
59,0,33,5000,36,0,20,0,1.5,10,38
60,0,12,5000,40,0,20,0,1.5,10,38
0,300,2000,400,150,0,20,0,1.5,10,44
1,300,2000,396,150,0,20,0,1.5,10,44
2,312,1988,371,169,10,20,1,1.5,10,44
3,268,2051,349,186,23,20,5,1.5,10,44
4,237,2395,340,197,38,20,4,1.5,10,44
5,245,2861,332,176,46,20,6,1.5,10,44
6,211,3488,331,144,58,20,8,1.5,10,44
7,172,4408,329,128,66,20,9,1.5,10,44
8,134,5094,336,112,68,20,6,1.5,10,44
9,113,5707,338,104,62,20,8,1.5,10,44
10,90,6577,378,83,68,20,5,1.5,10,44
11,61,6965,397,84,59,20,8,1.5,10,44
12,56,7845,420,78,57,20,5,1.5,10,44
13,46,8225,435,81,51,20,3,1.5,10,44
14,39,8437,461,74,51,20,4,1.5,10,44
15,39,8777,506,69,43,20,6,1.5,10,44
16,27,9322,532,62,41,20,4,1.5,10,44
17,23,9567,573,62,39,20,3,1.5,10,44
18,20,9706,621,76,36,20,2,1.5,10,44
19,16,9776,665,84,33,20,3,1.5,10,44
20,16,9937,705,87,32,20,3,1.5,10,44
21,16,10189,760,87,33,20,1,1.5,10,44
22,15,10098,811,87,35,20,1,1.5,10,44
23,21,10032,883,89,29,20,3,1.5,10,44
24,18,9942,938,86,22,20,1,1.5,10,44
25,17,9685,1000,74,18,20,2,1.5,10,44
26,15,9579,1060,85,17,20,4,1.5,10,44
27,17,9671,1128,78,14,20,2,1.5,10,44
28,23,9314,1184,87,11,20,1,1.5,10,44
29,14,8938,1246,89,7,20,0,1.5,10,44
30,13,8425,1342,91,4,20,0,1.5,10,44
31,15,7903,1424,94,2,20,0,1.5,10,44
32,14,7449,1504,97,2,20,0,1.5,10,44
33,10,6941,1576,114,2,20,0,1.5,10,44
34,3,6399,1659,113,1,20,0,1.5,10,44
35,3,5860,1738,118,1,20,0,1.5,10,44
36,3,5355,1850,129,3,20,0,1.5,10,44
37,0,4886,1975,127,2,20,0,1.5,10,44
38,0,4439,2102,29,2,20,0,1.5,10,44
39,0,3996,2229,19,0,20,0,1.5,10,44
40,0,3575,2370,18,0,20,0,1.5,10,44
41,0,3196,2514,12,0,20,0,1.5,10,44
42,0,2862,2678,5,0,20,0,1.5,10,44
43,0,2493,2825,5,0,20,0,1.5,10,44
44,0,2182,2985,9,0,20,0,1.5,10,44
45,0,1863,3149,8,0,20,0,1.5,10,44
46,0,1602,3350,8,0,20,0,1.5,10,44
